Security Control ID,Title,Description,Severity Rating,Current Region Availability,Remediation URL,Parameters,NbStandardsImplementedIn,ImplementedInStandards,Remediation URL to Crawl,Category,Resource type,AWS Config rule,Schedule type,Remediation
ACM.1,Imported and ACM-issued certificates should be renewed after a specified time period,"This control checks whether an AWS Certificate Manager (ACM) certificate is renewed within the specified time period. It checks both imported certificates and certificates provided by ACM. The control fails if the certificate isn't renewed within the specified time period. Unless you provide a custom parameter value for the renewal period, Security Hub uses a default value of 30 days.",MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/ACM.1/remediation,"Parameter: daysToExpiration
Description: Number of days within which the ACM certificate must be renewed
Type: Integer
Default Value: 30
Min: 14
Max: 365
---
",3,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5, PCI DSS v4.0.1",https://docs.aws.amazon.com/securityhub/latest/userguide/acm-controls.html#acm-1,Protect > Data Protection > Encryption of data-in-transit,AWS::ACM::Certificate,acm-certificate-expiration-check,Change triggered and periodic,"ACM provides managed renewal for your SSL/TLS certificates issued by Amazon. This means that ACM either renews your certificates automatically (if you use DNS validation), or it sends you email notices when the certificate expiration approaches. These services are provided for both public and private ACM certificates. For domains validated by email When a certificate is 45 days from expiration, ACM sends to the domain owner an email for each domain name. To validate the domains and complete the renewal, you must respond to the email notifications. For more information, see Renewal for domains validated by email in the AWS Certificate Manager User Guide. For domains validated by DNS ACM automatically renews certificates that use DNS validation. 60 days before the expiration, ACM verifies that the certificate can be renewed. If it cannot validate a domain name, then ACM sends a notification that manual validation is required. It sends these notifications 45 days, 30 days, 7 days, and 1 day before the expiration. For more information, see Renewal for domains validated by DNS in the AWS Certificate Manager User Guide."
ACM.2,"RSA certificates managed by ACM should use a key length of at least 2,048 bits","This control checks whether RSA certificates managed by AWS Certificate Manager use a key length of at least 2,048 bits. The control fails if the key length is smaller than 2,048 bits.",HIGH,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/ACM.2/remediation,,2,"AWS Foundational Security Best Practices v1.0.0, PCI DSS v4.0.1",https://docs.aws.amazon.com/securityhub/latest/userguide/acm-controls.html#acm-2,Identify > Inventory > Inventory services,AWS::ACM::Certificate,acm-certificate-rsa-check,Change triggered,"The minimum key length for RSA certificates issued by ACM is already 2,048 bits. For instructions on issuing new RSA certificates with ACM, see Issuing and managing certificates in the AWS Certificate Manager User Guide. While ACM allows you to import certificates with shorter key lengths, you must use keys of at least 2,048 bits to pass this control. You can't change the key length after importing a certificate. Instead, you must delete certificates with a key length smaller than 2,048 bits. For more information about importing certificates into ACM, see Prerequisites for importing certificates in the AWS Certificate Manager User Guide."
ACM.3,ACM certificates should be tagged,"This control checks whether an AWS Certificate Manager (ACM) certificate has tags with the specific keys defined in the parameter requiredTagKeys. The control fails if the certificate doesn’t have any tag keys or if it doesn’t have all the keys specified in the parameter requiredTagKeys. If the parameter requiredTagKeys isn't provided, the control only checks for the existence of a tag key and fails if the certificate isn't tagged with any key. System tags, which are automatically applied and begin with aws:, are ignored.",LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/ACM.3/remediation,"Parameter: requiredTagKeys
Description: List of non-system tag keys that the evaluated resource must contain. Tag keys are case sensitive.
Type: StringList
Default Value: N/A
Min: N/A
Max: N/A
---
",1,AWS Resource Tagging Standard v1.0.0,https://docs.aws.amazon.com/securityhub/latest/userguide/acm-controls.html#acm-3,Identify > Inventory > Tagging,AWS::ACM::Certificate,tagged-acm-certificate (custom Security Hub rule),Change triggered,"To add tags to an ACM certificate, see Tagging AWS Certificate Manager certificates in the AWS Certificate Manager User Guide."
APIGateway.1,API Gateway REST and WebSocket API execution logging should be enabled,"This control checks whether all stages of an Amazon API Gateway REST or WebSocket API have logging enabled. The control fails if the 'loggingLevel' isn't 'ERROR' or 'INFO' for all stages of the API. Unless you provide custom parameter values to indicate that a specific log type should be enabled, Security Hub produces a passed finding if the logging level is either 'ERROR' or 'INFO'.",MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/APIGateway.1/remediation,"Parameter: loggingLevel
Description: Logging level
Type: Enum
Default Value: N/A
Min: N/A
Max: N/A
---
",2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-1,Identify > Logging,AWS::ApiGateway::Stage,api-gw-execution-logging-enabled,Change triggered,"To enable logging for REST and WebSocket API operations, see Set up CloudWatch API logging using the API Gateway console in the API Gateway Developer Guide."
APIGateway.2,API Gateway REST API stages should be configured to use SSL certificates for backend authentication,This control checks whether Amazon API Gateway REST API stages have SSL certificates configured that backend systems can use to authenticate that incoming requests are from the API Gateway.,MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/APIGateway.2/remediation,,2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-2,Protect > Data Protection > Encryption of data-in-transit,AWS::ApiGateway::Stage,api-gw-ssl-enabled,Change triggered,"For detailed instructions on how to generate and configure API Gateway REST API SSL certificates, see Generate and configure an SSL certificate for backend authentication in the API Gateway Developer Guide."
APIGateway.3,API Gateway REST API stages should have AWS X-Ray tracing enabled,This control checks whether AWS X-Ray active tracing is enabled for your Amazon API Gateway REST API stages.,LOW,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/APIGateway.3/remediation,,2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-3,Detect > Detection services,AWS::ApiGateway::Stage,api-gw-xray-enabled,Change triggered,"For detailed instructions on how to enable X-Ray active tracing for API Gateway REST API operations, see Amazon API Gateway active tracing support for AWS X-Ray in the AWS X-Ray Developer Guide."
APIGateway.4,API Gateway should be associated with a WAF Web ACL,This control checks to see if an API Gateway stage is using an AWS WAF Web ACL. This control fails if an AWS WAF Web ACL is not attached to a REST API Gateway stage.,MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/APIGateway.4/remediation,,2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-4,Protect > Protective services,AWS::ApiGateway::Stage,api-gw-associated-with-waf,Change triggered,"For information on how to use the API Gateway console to associate an AWS WAF Regional web ACL with an existing API Gateway API stage, see Using AWS WAF to protect your APIs in the API Gateway Developer Guide."
APIGateway.5,API Gateway REST API cache data should be encrypted at rest,This control checks whether all methods in Amazon API Gateway REST API stages that have cache enabled are encrypted. The control fails if any method in API Gateway REST API stage is configured to cache and the cache is not encrypted.,MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/APIGateway.5/remediation,,2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-5,"Protect > Data protection > Encryption of data at
   rest",AWS::ApiGateway::Stage,api-gw-cache-encrypted (custom Security Hub rule),Change triggered,"To configure API caching for a stage, see Enable Amazon API Gateway caching in the API Gateway Developer Guide. In Cache Settings, choose Encrypt cache data."
APIGateway.8,API Gateway routes should specify an authorization type,"This control checks if Amazon API Gateway routes have an authorization type. The control fails if the API Gateway route doesn't have any authorization type. Optionally, you can provide a custom parameter value if you want the control to pass only if the route uses the authorization type specified in the 'authorizationType' parameter.",MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/APIGateway.8/remediation,"Parameter: authorizationType
Description: Authorization type of the API routes
Type: Enum
Default Value: N/A
Min: N/A
Max: N/A
---
",2,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5",https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-8,Protect > Secure Access Management,AWS::ApiGatewayV2::Route,api-gwv2-authorization-type-configured,Periodic,"To set an authorization type for HTTP APIs, see Controlling and managing access to an HTTP API in API Gateway in the API Gateway Developer Guide. To set an authorization type for WebSocket APIs, see Controlling and managing access to a WebSocket API in API Gateway in the API Gateway Developer Guide."
APIGateway.9,Access logging should be configured for API Gateway V2 Stages,This control checks if Amazon API Gateway V2 stages have access logging configured. This control fails if access log settings aren’t defined.,MEDIUM,AVAILABLE,https://docs.aws.amazon.com/console/securityhub/APIGateway.9/remediation,,3,"AWS Foundational Security Best Practices v1.0.0, NIST Special Publication 800-53 Revision 5, PCI DSS v4.0.1",https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-9,Identify > Logging,AWS::ApiGatewayV2::Stage,api-gwv2-access-logs-enabled,Change triggered,"To set up access logging, see Set up CloudWatch API logging using the API Gateway console in the API Gateway Developer Guide."
